precision,recall,threshold
0.5182,0.1707,0.5367
0.5229,0.1707,0.537
0.5185,0.1677,0.5376
0.514,0.1647,0.538
0.5189,0.1647,0.5384
0.5238,0.1647,0.5386
0.5288,0.1647,0.5387
0.5243,0.1617,0.5395
0.5294,0.1617,0.5396
0.5347,0.1617,0.5401
0.53,0.1587,0.5407
0.5354,0.1587,0.5412
0.5306,0.1557,0.5416
0.5258,0.1527,0.5418
0.5312,0.1527,0.5428
0.5263,0.1497,0.5428
0.5319,0.1497,0.543
0.5376,0.1497,0.5436
0.5435,0.1497,0.5439
0.5385,0.1467,0.545
0.5333,0.1437,0.5452
0.5281,0.1407,0.5458
0.5227,0.1377,0.5459
0.5287,0.1377,0.5483
0.5233,0.1347,0.5491
0.5294,0.1347,0.5491
0.5357,0.1347,0.55
0.5422,0.1347,0.5501
0.5366,0.1317,0.5503
0.5432,0.1317,0.5506
0.5375,0.1287,0.5508
0.5316,0.1257,0.5514
0.5256,0.1228,0.5514
0.5325,0.1228,0.5524
0.5263,0.1198,0.5526
0.5333,0.1198,0.5528
0.5405,0.1198,0.553
0.5342,0.1168,0.5531
0.5278,0.1138,0.5534
0.5211,0.1108,0.5538
0.5143,0.1078,0.554
0.5217,0.1078,0.5544
0.5147,0.1048,0.5556
0.5224,0.1048,0.556
0.5152,0.1018,0.5569
0.5077,0.0988,0.5576
0.5156,0.0988,0.5579
0.5079,0.0958,0.5605
0.5,0.0928,0.5606
0.4918,0.0898,0.5613
0.4833,0.0868,0.5619
0.4915,0.0868,0.5625
0.4828,0.0838,0.5628
0.4737,0.0808,0.5633
0.4821,0.0808,0.5645
0.4727,0.0778,0.5656
0.463,0.0749,0.5668
0.4528,0.0719,0.5669
0.4615,0.0719,0.5683
0.451,0.0689,0.5732
0.46,0.0689,0.5744
0.4694,0.0689,0.5744
0.4583,0.0659,0.5755
0.4468,0.0629,0.576
0.4565,0.0629,0.576
0.4667,0.0629,0.5768
0.4773,0.0629,0.578
0.4884,0.0629,0.5792
0.5,0.0629,0.5805
0.4878,0.0599,0.5806
0.475,0.0569,0.5808
0.4872,0.0569,0.5832
0.4737,0.0539,0.5832
0.4595,0.0509,0.5837
0.4722,0.0509,0.5838
0.4857,0.0509,0.5841
0.4706,0.0479,0.5849
0.4848,0.0479,0.5876
0.5,0.0479,0.589
0.4839,0.0449,0.5913
0.5,0.0449,0.5913
0.4828,0.0419,0.5947
0.5,0.0419,0.5953
0.4815,0.0389,0.5989
0.5,0.0389,0.5996
0.48,0.0359,0.6018
0.4583,0.0329,0.6028
0.4348,0.0299,0.6038
0.4545,0.0299,0.6074
0.4762,0.0299,0.6114
0.45,0.0269,0.6117
0.4211,0.024,0.6143
0.4444,0.024,0.6158
0.4706,0.024,0.6165
0.4375,0.021,0.6173
0.4667,0.021,0.6199
0.5,0.021,0.6318
0.4615,0.018,0.6326
0.5,0.018,0.6327
0.4545,0.015,0.6342
0.5,0.015,0.636
0.4444,0.012,0.6375
0.5,0.012,0.6388
0.4286,0.009,0.6408
0.5,0.009,0.6475
0.4,0.006,0.6489
0.5,0.006,0.6536
0.3333,0.003,0.6539
0.5,0.003,0.686
1.0,0.003,0.6937
