precision,recall,threshold
0.5217,0.125,0.508
0.5275,0.125,0.5083
0.5222,0.1224,0.509
0.5281,0.1224,0.5092
0.5341,0.1224,0.5094
0.5402,0.1224,0.5095
0.5349,0.1198,0.5097
0.5294,0.1172,0.5098
0.5357,0.1172,0.5098
0.5422,0.1172,0.5099
0.5366,0.1146,0.5101
0.5309,0.112,0.5102
0.5375,0.112,0.5103
0.5443,0.112,0.5103
0.5385,0.1094,0.5103
0.5455,0.1094,0.5105
0.5395,0.1068,0.5107
0.5467,0.1068,0.5109
0.5541,0.1068,0.5112
0.5616,0.1068,0.5115
0.5556,0.1042,0.5116
0.5634,0.1042,0.5116
0.5714,0.1042,0.5122
0.5652,0.1016,0.5123
0.5588,0.099,0.5123
0.5672,0.099,0.513
0.5606,0.0964,0.5131
0.5692,0.0964,0.5135
0.5781,0.0964,0.5137
0.5873,0.0964,0.514
0.5806,0.0938,0.5143
0.5738,0.0911,0.5143
0.5833,0.0911,0.5143
0.5763,0.0885,0.5145
0.5862,0.0885,0.5146
0.5789,0.0859,0.515
0.5714,0.0833,0.5154
0.5636,0.0807,0.5158
0.5556,0.0781,0.5161
0.566,0.0781,0.5163
0.5577,0.0755,0.5166
0.5686,0.0755,0.5168
0.56,0.0729,0.5171
0.5714,0.0729,0.5172
0.5833,0.0729,0.5172
0.5745,0.0703,0.5176
0.5652,0.0677,0.5177
0.5778,0.0677,0.5178
0.5909,0.0677,0.518
0.5814,0.0651,0.5181
0.5714,0.0625,0.5199
0.5854,0.0625,0.5204
0.575,0.0599,0.521
0.5641,0.0573,0.5212
0.5789,0.0573,0.5212
0.5946,0.0573,0.5213
0.5833,0.0547,0.5226
0.5714,0.0521,0.5228
0.5588,0.0495,0.5243
0.5758,0.0495,0.5245
0.5625,0.0469,0.5253
0.5484,0.0443,0.5254
0.5667,0.0443,0.5255
0.5862,0.0443,0.5255
0.5714,0.0417,0.5257
0.5556,0.0391,0.5264
0.5385,0.0365,0.5268
0.56,0.0365,0.5279
0.5833,0.0365,0.5284
0.6087,0.0365,0.5295
0.5909,0.0339,0.5299
0.5714,0.0312,0.5304
0.6,0.0312,0.5307
0.6316,0.0312,0.5328
0.6111,0.0286,0.5342
0.5882,0.026,0.5355
0.625,0.026,0.536
0.6,0.0234,0.5371
0.5714,0.0208,0.5372
0.5385,0.0182,0.5376
0.5,0.0156,0.5402
0.5455,0.0156,0.5428
0.6,0.0156,0.5435
0.6667,0.0156,0.5458
0.75,0.0156,0.5466
0.7143,0.013,0.5478
0.6667,0.0104,0.5481
0.6,0.0078,0.5487
0.5,0.0052,0.5501
0.3333,0.0026,0.5512
0.5,0.0026,0.5575
0.0,0.0,0.5699
